fi	fM	MHVR(fi-2)	MHVR(fi-1)	MHVR(fi)	MHVR(fi+1)	MHVR(fi+2)	AMR(fi-2)	AMR(fi-1)	AMR(fi)	AMR(fi+1)	AMR(fi+2)	pSAF
0.300	3.057	1.735	1.735	1.735	1.778	1.829	1.557	1.441	1.439	1.498	1.519	2.497
0.306	3.057	1.735	1.735	1.778	1.829	1.879	1.560	1.441	1.443	1.499	1.524	2.565
0.313	3.057	1.735	1.778	1.829	1.879	1.922	1.562	1.441	1.444	1.500	1.530	2.641
0.320	3.057	1.778	1.829	1.879	1.922	1.973	1.568	1.445	1.449	1.504	1.538	2.722
0.326	3.057	1.829	1.879	1.922	1.973	2.023	1.573	1.449	1.454	1.508	1.546	2.794
0.333	3.057	1.879	1.922	1.973	2.023	2.104	1.579	1.454	1.461	1.513	1.554	2.882
0.340	3.057	1.922	1.973	2.023	2.104	2.179	1.585	1.459	1.467	1.517	1.563	2.968
0.348	3.057	1.973	2.023	2.104	2.179	2.266	1.593	1.466	1.475	1.524	1.573	3.104
0.355	3.057	2.023	2.104	2.179	2.266	2.342	1.601	1.472	1.481	1.530	1.582	3.228
0.363	3.057	2.104	2.179	2.266	2.342	2.429	1.610	1.481	1.491	1.538	1.594	3.379
0.370	3.057	2.179	2.266	2.342	2.429	2.515	1.619	1.490	1.500	1.546	1.605	3.513
0.378	3.057	2.266	2.342	2.429	2.515	2.628	1.630	1.500	1.511	1.556	1.618	3.671
0.386	3.057	2.342	2.429	2.515	2.628	2.743	1.641	1.511	1.522	1.565	1.630	3.828
0.395	3.057	2.429	2.515	2.628	2.743	2.873	1.653	1.523	1.535	1.576	1.645	4.035
0.403	3.057	2.515	2.628	2.743	2.873	3.002	1.666	1.535	1.548	1.588	1.659	4.246
0.412	3.057	2.628	2.743	2.873	3.002	3.117	1.681	1.551	1.563	1.602	1.675	4.490
0.421	3.057	2.743	2.873	3.002	3.117	3.260	1.696	1.567	1.579	1.617	1.692	4.741
