fi,fM,MHVR(fi-2),MHVR(fi-1),MHVR(fi),MHVR(fi+1),MHVR(fi+2)
0.300,3.057,1.735,1.735,1.735,1.778,1.829
0.306,3.057,1.735,1.735,1.778,1.829,1.879
0.313,3.057,1.735,1.778,1.829,1.879,1.922
0.320,3.057,1.778,1.829,1.879,1.922,1.973
0.326,3.057,1.829,1.879,1.922,1.973,2.023
0.333,3.057,1.879,1.922,1.973,2.023,2.104
0.340,3.057,1.922,1.973,2.023,2.104,2.179
0.348,3.057,1.973,2.023,2.104,2.179,2.266
0.355,3.057,2.023,2.104,2.179,2.266,2.342
0.363,3.057,2.104,2.179,2.266,2.342,2.429
0.370,3.057,2.179,2.266,2.342,2.429,2.515
0.378,3.057,2.266,2.342,2.429,2.515,2.628
0.386,3.057,2.342,2.429,2.515,2.628,2.743
0.395,3.057,2.429,2.515,2.628,2.743,2.873
0.403,3.057,2.515,2.628,2.743,2.873,3.002
0.412,3.057,2.628,2.743,2.873,3.002,3.117
0.421,3.057,2.743,2.873,3.002,3.117,3.260
0.429,3.057,2.873,3.002,3.117,3.260,3.403
0.439,3.057,3.002,3.117,3.260,3.403,3.562
0.448,3.057,3.117,3.260,3.403,3.562,3.705
0.458,3.057,3.260,3.403,3.562,3.705,3.864
0.467,3.057,3.403,3.562,3.705,3.864,4.023
0.477,3.057,3.562,3.705,3.864,4.023,4.173
0.487,3.057,3.705,3.864,4.023,4.173,4.307
0.498,3.057,3.864,4.023,4.173,4.307,4.454
0.508,3.057,4.023,4.173,4.307,4.454,4.601
0.519,3.057,4.173,4.307,4.454,4.601,4.708
0.530,3.057,4.307,4.454,4.601,4.708,4.737
0.542,3.057,4.454,4.601,4.708,4.737,4.767
0.553,3.057,4.601,4.708,4.737,4.767,4.798
0.565,3.057,4.708,4.737,4.767,4.798,4.798
0.577,3.057,4.737,4.767,4.798,4.798,4.708
0.589,3.057,4.767,4.798,4.798,4.708,4.617
0.602,3.057,4.798,4.798,4.708,4.617,4.527
0.615,3.057,4.798,4.708,4.617,4.527,4.422
0.628,3.057,4.708,4.617,4.527,4.422,4.291
0.641,3.057,4.617,4.527,4.422,4.291,4.160
0.655,3.057,4.527,4.422,4.291,4.160,4.029
0.669,3.057,4.422,4.291,4.160,4.029,3.895
0.683,3.057,4.291,4.160,4.029,3.895,3.761
0.698,3.057,4.160,4.029,3.895,3.761,3.627
0.713,3.057,4.029,3.895,3.761,3.627,3.511
0.728,3.057,3.895,3.761,3.627,3.511,3.394
0.743,3.057,3.761,3.627,3.511,3.394,3.278
