fi,fM,MHVR(fi-2),MHVR(fi-1),MHVR(fi),MHVR(fi+1),MHVR(fi+2),AMR(fi-2),AMR(fi-1),AMR(fi),AMR(fi+1),AMR(fi+2),pSAF
0.300000,3.057000,1.735000,1.735000,1.735000,1.778000,1.829000,1.557099,1.440828,1.439306,1.498498,1.519449,2.497197
0.306000,3.057000,1.735000,1.735000,1.778000,1.829000,1.879000,1.559668,1.441103,1.442723,1.499127,1.524288,2.565162
0.313000,3.057000,1.735000,1.778000,1.829000,1.879000,1.922000,1.562127,1.440603,1.443955,1.499875,1.529750,2.640993
0.320000,3.057000,1.778000,1.829000,1.879000,1.922000,1.973000,1.567522,1.444785,1.448779,1.503877,1.537855,2.722256
0.326000,3.057000,1.829000,1.879000,1.922000,1.973000,2.023000,1.572939,1.449219,1.453774,1.508071,1.545543,2.794154
0.333000,3.057000,1.879000,1.922000,1.973000,2.023000,2.104000,1.579359,1.454423,1.460649,1.512803,1.554387,2.881861
0.340000,3.057000,1.922000,1.973000,2.023000,2.104000,2.179000,1.585476,1.459169,1.466929,1.517391,1.562675,2.967598
0.348000,3.057000,1.973000,2.023000,2.104000,2.179000,2.266000,1.593286,1.466050,1.475096,1.523654,1.572974,3.103603
0.355000,3.057000,2.023000,2.104000,2.179000,2.266000,2.342000,1.600539,1.471983,1.481488,1.529666,1.582436,3.228163
0.363000,3.057000,2.104000,2.179000,2.266000,2.342000,2.429000,1.610326,1.481402,1.491206,1.538181,1.594448,3.379073
0.370000,3.057000,2.179000,2.266000,2.342000,2.429000,2.515000,1.619397,1.489827,1.499877,1.546113,1.605350,3.512712
0.378000,3.057000,2.266000,2.342000,2.429000,2.515000,2.628000,1.630198,1.500431,1.511196,1.555645,1.618021,3.670696
0.386000,3.057000,2.342000,2.429000,2.515000,2.628000,2.743000,1.640772,1.510544,1.522046,1.565030,1.630205,3.827945
0.395000,3.057000,2.429000,2.515000,2.628000,2.743000,2.873000,1.653377,1.523170,1.535301,1.576448,1.644537,4.034771
0.403000,3.057000,2.515000,2.628000,2.743000,2.873000,3.002000,1.665942,1.535402,1.547768,1.587935,1.658540,4.245528
0.412000,3.057000,2.628000,2.743000,2.873000,3.002000,3.117000,1.680786,1.550810,1.562960,1.601722,1.674942,4.490384
0.421000,3.057000,2.743000,2.873000,3.002000,3.117000,3.260000,1.696454,1.567157,1.579310,1.616541,1.692335,4.741089
0.429000,3.057000,2.873000,3.002000,3.117000,3.260000,3.403000,1.711584,1.582616,1.595092,1.630699,1.708479,4.971900
0.439000,3.057000,3.002000,3.117000,3.260000,3.403000,3.562000,1.726765,1.597075,1.610364,1.644708,1.723615,5.249788
0.448000,3.057000,3.117000,3.260000,3.403000,3.562000,3.705000,1.733178,1.601986,1.615860,1.650999,1.730729,5.498772
0.458000,3.057000,3.260000,3.403000,3.562000,3.705000,3.864000,1.738187,1.606187,1.620551,1.656497,1.737226,5.772404
0.467000,3.057000,3.403000,3.562000,3.705000,3.864000,4.023000,1.742260,1.609561,1.624300,1.661346,1.742734,6.018030
0.477000,3.057000,3.562000,3.705000,3.864000,4.023000,4.173000,1.748548,1.618609,1.633133,1.670882,1.752415,6.310427
0.487000,3.057000,3.705000,3.864000,4.023000,4.173000,4.307000,1.749672,1.623105,1.640369,1.676474,1.759908,6.599205
0.498000,3.057000,3.864000,4.023000,4.173000,4.307000,4.454000,1.746286,1.623672,1.646230,1.678524,1.764922,6.869718
0.508000,3.057000,4.023000,4.173000,4.307000,4.454000,4.601000,1.743241,1.624537,1.651846,1.680706,1.769364,7.114502
0.519000,3.057000,4.173000,4.307000,4.454000,4.601000,4.708000,1.741784,1.627440,1.658600,1.684266,1.775066,7.387403
0.530000,3.057000,4.307000,4.454000,4.601000,4.708000,4.737000,1.740667,1.637574,1.672751,1.690533,1.780655,7.696326
0.542000,3.057000,4.454000,4.601000,4.708000,4.737000,4.767000,1.741148,1.650510,1.689208,1.698968,1.787303,7.952793
0.553000,3.057000,4.601000,4.708000,4.737000,4.767000,4.798000,1.740295,1.660562,1.702211,1.704874,1.791919,8.063375
0.565000,3.057000,4.708000,4.737000,4.767000,4.798000,4.798000,1.739582,1.669973,1.713923,1.709903,1.796229,8.170273
0.577000,3.057000,4.737000,4.767000,4.798000,4.798000,4.708000,1.742422,1.676230,1.720849,1.714215,1.801174,8.256634
0.589000,3.057000,4.767000,4.798000,4.798000,4.708000,4.617000,1.745465,1.681723,1.726379,1.717957,1.806117,8.283165
